Local;Número;Título;Fase;Tier;Change Manager;Iniciador;Representante da qualidade;Prod Impact;Reg. Impact;Change Driver;Created;Approval;Planned Completion;Planned Verification;Planned Regulatory Closure Date;Closed;Change Mgr Dept;Site Review Council;Is there artwork impact?;Actual Regulatory Approval Date;Quality Verification Completion Date;Regulatory Rep
Cruzeiro;CR030529;Atualização da especificação dos materiais 2000666 frasco PL 5L - vermelho e 2087792 frasco PL 5 L para panacur;Closed;Tier 1;;Amanda Cristina Correa da Silva;Thamires Ribeiro;;;;jan 20, 2022;fev 16, 2022;abr 20, 2022;mai 5, 2022;;abr 19, 2022;;;;;abr 19, 2022;
Cruzeiro;CR030525;Substituição do refil MOP por saco alvejado no processo de limpeza do setor produtivo Dispositivos Hormonais;Closed;Tier 1;;Peterson Lopes;Thamires Ribeiro;;;;jan 20, 2022;jan 26, 2022;mar 14, 2022;mar 29, 2022;;mar 17, 2022;Manufacturing;;;;;
Cruzeiro;CR030496;Adequação de informações para análise de teor de ácido palmítico e esteárico em Estearato de Magnésio (C-CQ-TCMP-063);Closed;Tier 1;;Ana Paula dos Santos Ribeiro Barbosa;Thamires Ribeiro;;;;jan 19, 2022;jan 21, 2022;fev 11, 2022;fev 26, 2022;;fev 10, 2022;Quality Control;;;;;
Cruzeiro;CR030413;Redução das etapas de pré mistura da formulação e troca de moldes de injeção para o produto Crestar IVG;Closed;Tier 1;Peterson Lopes;Peterson Lopes;Samira Gaspar;No;No;Business/process improvement or change;jan 17, 2022;fev 7, 2022;set 27, 2024;out 12, 2024;;out 10, 2024;Manufacturing;;;;out 10, 2024;Aline Ishziuka
Cruzeiro;CR030290;Manutenção corretiva em trecho da rede de hidrante subterrânea que apresenta vazamento de água realizando a alteração. do posicionamento da tubulação.;Closed;Tier 1;Luis Guilherme Israel de Carvalho;Luis Guilherme Israel de Carvalho;Thamires Ribeiro;No;No;Safety and Environmental;jan 12, 2022;jan 13, 2022;abr 28, 2022;mai 13, 2022;;abr 5, 2022;SHE;;;;abr 5, 2022;Anna Carolina Sousa Alves
Cruzeiro;CR030215;C-BR-4000323 - Correção das quantidades de Silicone Inerte e Organosilicone na terceira parte a ser adicionada ao granel;Closed;Tier 1;;Eduardo Barros;Thamires Ribeiro;;;;jan 10, 2022;jan 11, 2022;jan 27, 2022;fev 11, 2022;;jan 25, 2022;Manufacturing;;;;;
Cruzeiro;CR030213;PRDEN-030 - Criação do LogBook para a sala de embalagem de Pós e Comprimidos Endos;Closed;Tier 1;;Eduardo Barros;Thamires Ribeiro;;;;jan 10, 2022;jan 10, 2022;jan 27, 2022;fev 11, 2022;;jan 11, 2022;Manufacturing;;;;;
Cruzeiro;CR030181;Criação das artes e documentação para o produto Panacur FT 250mL - Colômbia;Closed;Tier 1;;Maria Paula Para Nogueira;Thamires Ribeiro;;;;jan 7, 2022;jan 31, 2022;abr 25, 2022;mai 10, 2022;;abr 19, 2022;Packaging;;;;abr 19, 2022;
Cruzeiro;CR030175;Fabricação do produto Crestar para o mercado nacional;Closed;Tier 2;Juliana Silva;Juliana Silva;Samira Gaspar;No;Yes;Business/process improvement or change;jan 7, 2022;jan 26, 2022;set 30, 2024;out 15, 2024;jul 31, 2025;out 29, 2024;GTO-PTS;Izabel Barcza;No;jan 6, 2023;out 15, 2024;Anna Carolina Sousa Alves
Cruzeiro;CR030154;C-BR-4003713 Vampiricid Granel - Inclusão de mais um campo para registro de balança utilizada no Almoxarifado;Closed;Tier 1;;Eduardo Barros;Thamires Ribeiro;;;;jan 6, 2022;jan 10, 2022;jan 28, 2022;fev 12, 2022;;jan 25, 2022;Manufacturing;;;;;
Cruzeiro;CR030104;Panacoxx Granel - Inclusão da unidade de medida no rendimento de processo;Closed;Tier 1;;Eduardo Barros;Thamires Ribeiro;;;;jan 4, 2022;jan 10, 2022;fev 16, 2022;mar 3, 2022;;jan 25, 2022;Manufacturing;;;;;
Cruzeiro;CR030103;Controles de Higiene Industrial - Projeto Novo Ectos;Closed;Tier 1;Alessandro Rodrigues da Silva;Alessandro Rodrigues da Silva;Maria Leticia Vilas Boas;No;No;Safety and Environmental;jan 4, 2022;jan 28, 2022;mar 31, 2025;abr 15, 2025;;abr 15, 2025;SHE;;;;abr 15, 2025;Phelipe Montenegro
Cruzeiro;CR029850;Transferência dos produtos Double Barrel e Saber Ear Tag para o site da MSD Saúde Animal - Cruzeiro/SP;Closed;Tier 1;;Eduardo Barros;Izabel Barcza;;;;dez 16, 2021;dez 21, 2021;jun 24, 2022;jul 9, 2022;;jun 23, 2022;Manufacturing;;;;jun 23, 2022;
Cruzeiro;CR029831;Descrever de forma mais adequada e completa a execução do teste de Densidade Aparente na técnica C-CQ-TCMP-173 – Silicato de Alumínio;Closed;Tier 1;;Mayara Aline Barbosa Matias;Thamires Ribeiro;;;;dez 15, 2021;jan 4, 2022;jan 31, 2022;fev 15, 2022;;fev 7, 2022;;;;;;
Cruzeiro;CR029805;Implementação do Desintegrador Charles Ischi DISI-1M;Closed;Tier 1;Isabela Salhab Costa;Isabela Salhab Costa;Samira Gaspar;No;No;Business/process improvement or change;dez 15, 2021;dez 17, 2021;abr 28, 2023;mai 13, 2023;;mai 3, 2023;Quality Control;;;;mai 3, 2023;Raquel Pinto Lopes
Cruzeiro;CR029804;Implementação do Densímetro Mettler Toledo D4;Closed;Tier 1;Isabela Salhab Costa;Isabela Salhab Costa;Thamires Ribeiro;No;No;Business/process improvement or change;dez 15, 2021;dez 17, 2021;abr 30, 2022;mai 15, 2022;;abr 27, 2022;Quality Control;;;;abr 27, 2022;Raquel Pinto Lopes
Cruzeiro;CR029780;Alteração da Classificação de Risco do Produto final Bovguard;Closed;Tier 1;Williseane Guimaraes Portugal;Williseane Guimaraes Portugal;Thamires Ribeiro;No;No;Safety and Environmental;dez 14, 2021;dez 21, 2021;fev 18, 2022;mar 5, 2022;;fev 23, 2022;SHE;;;;;Raquel Pinto Lopes
Cruzeiro;CR029778;Implementação do Friabilômetro Charles Ischi AE-1;Closed;Tier 1;Isabela Salhab Costa;Isabela Salhab Costa;Samira Gaspar;No;No;Business/process improvement or change;dez 14, 2021;dez 17, 2021;abr 28, 2023;mai 13, 2023;;mai 3, 2023;Quality Control;;;;mai 3, 2023;Raquel Pinto Lopes
Cruzeiro;CR029768;Implementação do Penetrometro Anton Paar PNR 12;Closed;Tier 1;Isabela Salhab Costa;Isabela Salhab Costa;Samira Gaspar;No;No;Business/process improvement or change;dez 14, 2021;dez 17, 2021;jan 13, 2023;jan 28, 2023;;dez 5, 2022;Quality Control;;;;dez 5, 2022;Raquel Pinto Lopes
Cruzeiro;CR029694;Criação do Procedimento Padrão de Operação para o Lavador de Pipetas no laboratório do Controle da Qualidade;Closed;Tier 1;;Isabela Salhab Costa;Thamires Ribeiro;;;;dez 13, 2021;dez 13, 2021;jan 31, 2022;fev 15, 2022;;jan 4, 2022;Quality Control;;;;;
Cruzeiro;CR029691;Melhoria em registros de Batches Records - Posição trabalhada e registro de paradas;Closed;Tier 1;;Eduardo Barros;Maria Leticia Vilas Boas;;;;dez 13, 2021;dez 14, 2021;mar 29, 2024;abr 13, 2024;;abr 10, 2024;Manufacturing;;;;abr 10, 2024;
Cruzeiro;CR029662;Exclusão de campo (não utilizado) para registro de atividade do Almoxarifado na Reconciliação do Batch Record.;Closed;Tier 1;;Eduardo Barros;Thamires Ribeiro;;;;dez 10, 2021;dez 14, 2021;fev 25, 2022;mar 12, 2022;;mar 3, 2022;Manufacturing;;;;;
Cruzeiro;CR029634;Novo Ectos - Comissionamento;Closed;Tier 1;;Leonardo Guedes;Samira Gaspar;;;;dez 9, 2021;dez 15, 2021;ago 5, 2022;ago 20, 2022;;ago 19, 2022;Maintenance;;;;ago 19, 2022;
Cruzeiro;CR029618;Implementação do novo condutivímetro/pHmetro Seven Excellence S470;Closed;Tier 1;Isabela Salhab Costa;Isabela Salhab Costa;Thamires Ribeiro;No;No;Business/process improvement or change;dez 9, 2021;dez 17, 2021;abr 30, 2022;mai 15, 2022;;abr 27, 2022;Quality Control;;;;abr 27, 2022;Raquel Pinto Lopes
Cruzeiro;CR029593;Azium emblistagem - Inserir nota sobre a necessidade de descarte da água purificada no Batch Record de Azium Emblistagem;Closed;Tier 1;;Eduardo Barros;Maria Leticia Vilas Boas;;;;dez 8, 2021;dez 9, 2021;jan 28, 2022;fev 12, 2022;;jan 13, 2022;Manufacturing;;;;;
Cruzeiro;CR029584;Implementação do novo dissolutor Vision Classic 6;Closed;Tier 1;Isabela Salhab Costa;Isabela Salhab Costa;Samira Gaspar;No;No;Business/process improvement or change;dez 8, 2021;dez 17, 2021;set 15, 2022;set 30, 2022;;set 28, 2022;Quality Control;;;;set 28, 2022;Raquel Pinto Lopes
Cruzeiro;CR029576;Azium - Correção do intervalo de retirada de amostras da etapa de secagem do granulado;Closed;Tier 1;;Eduardo Barros;Maria Leticia Vilas Boas;;;;dez 8, 2021;dez 8, 2021;jan 28, 2022;fev 12, 2022;;jan 11, 2022;Manufacturing;;;;;
Cruzeiro;CR029573;Novo Ectos - Comissionamento;Cancelled;Tier 1;Leonardo Guedes;Leonardo Guedes;Maria Leticia Vilas Boas;No;No;Quality/Compliance;dez 8, 2021;;;;;;Maintenance;;;;;Raquel Pinto Lopes
Cruzeiro;CR029512;Alteração na técnica de Análise do produto C-CQ-TCPA-040 Sofomax / Fluxacur NF;Closed;Tier 1;;Isabela Salhab Costa;Thamires Ribeiro;;;;dez 6, 2021;dez 7, 2021;dez 21, 2021;jan 5, 2022;;jan 4, 2022;Quality Control;;;;;
Cruzeiro;CR029364;Transferência das Linhas Produtivas para o Novo Ectos;Closed;Tier 2;Sarah Lana;Sarah Lana;Maria Leticia Vilas Boas;No;Yes;Business/process improvement or change;nov 29, 2021;set 6, 2022;dez 16, 2022;dez 31, 2022;out 27, 2023;fev 13, 2023;Manufacturing;Izabel Barcza;No;abr 25, 2022;nov 17, 2022;"Aline Ishziuka; Anna Carolina Sousa Alves"
Cruzeiro;CR029343;Abamectina - Inclusão de Nota sobre a tratativa para matéria prima Abamectina no POP de formulação e Batch Record do Sofomax.;Closed;Tier 1;;Eduardo Barros;Maria Leticia Vilas Boas;;;;nov 29, 2021;nov 30, 2021;dez 10, 2021;dez 25, 2021;;dez 6, 2021;Manufacturing;;;;;
Cruzeiro;CR029302;"Inclusão dos materiais ""Caixa papelão CP1-V c/ divisão"" (2001890) e ""Copo Dosador 60 mL"" (2000230) no programa de teste reduzido.";Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;nov 25, 2021;dez 2, 2021;jan 16, 2023;jan 31, 2023;;jan 24, 2023;Packaging;;;;jan 24, 2023;
Cruzeiro;CR029281;Alteração de nome do fabricante Sanofi Chimie para EUROAPI France;Closed;Tier 1;;Thaís Sant'Anna;Maria Leticia Vilas Boas;;;;nov 24, 2021;nov 25, 2021;dez 17, 2021;jan 1, 2022;;nov 25, 2021;Packaging;;;;;
Cruzeiro;CR029117;Fabricação de 01 lote de 1.700 litros do produto Avotan Gold => Lote 002/21.;Closed;Tier 1;Claudio Cardeal;Claudio Cardeal;Thamires Ribeiro;No;No;Business/process improvement or change;nov 18, 2021;nov 30, 2021;dez 20, 2021;jan 4, 2022;;jan 4, 2022;Logistics-Warehouse;;;;;Aline Ishziuka
Cruzeiro;CR028972;Atualizar as artes do produto Panacur Suspensão 10% destinado aos países do CENCA, para inclusão do Equador;Closed;Tier 1;Vilmar Alves;Vilmar Alves;Samira Gaspar;No;No;Routine (Master Data, Like-for-Like, etc);nov 12, 2021;nov 23, 2021;ago 26, 2022;set 10, 2022;;ago 1, 2022;Packaging;Izabel Barcza;;;ago 1, 2022;Jessica Isaac
Cruzeiro;CR028956;Atualização das artes do produto Panacoxx Suspensão Nacional;Closed;Tier 2;Vilmar Alves;Vilmar Alves;Maria Leticia Vilas Boas;No;No;Quality/Compliance;nov 11, 2021;dez 3, 2021;mai 27, 2022;jun 11, 2022;;mai 11, 2022;Packaging;Izabel Barcza;Yes;;mai 11, 2022;Raquel Pinto Lopes
Cruzeiro;CR028790;Implementação da Estufa a Vácuo Thermo Scientific Vacutherm VT6025;Closed;Tier 1;Isabela Salhab Costa;Isabela Salhab Costa;Thamires Ribeiro;No;No;Business/process improvement or change;nov 5, 2021;nov 9, 2021;jan 21, 2022;fev 5, 2022;;jan 25, 2022;Quality Control;;;;;Raquel Pinto Lopes
Cruzeiro;CR028722;Adequação de tubulação e válvulas no Sistema Produtivo (Formulação e Envase) de Suspensões;Closed;Tier 1;Marisa Rollo;Marisa Rollo;Samira Gaspar;No;No;Business/process improvement or change;nov 3, 2021;dez 20, 2021;ago 18, 2023;set 2, 2023;;ago 29, 2023;GTO-PTS;;;;ago 29, 2023;"Raquel Pinto Lopes; Aline Ishziuka"
Cruzeiro;CR028569;Aquisição de novo equipamento (CIP) - Novo Ectos;Closed;Tier 1;Leonardo Guedes;Leonardo Guedes;Maria Leticia Vilas Boas;No;No;Safety and Environmental;out 27, 2021;nov 17, 2021;ago 30, 2023;set 14, 2023;;set 14, 2023;Engineering;;;;set 14, 2023;Raquel Pinto Lopes
Cruzeiro;CR028439;Aprovação do fabricante Nouryon Chemicals Ningbo para o material Peróxido de Dicumila 99% e alteração das especificações das matérias primas Peróxido de Dicumila 99% e Corante Verde Clorofila do produto Crestar IVG 1.0, 1.3 e monodose.;Closed;Tier 2;Rafael Brandão Nascimento;Rafael Brandão Nascimento;Anderson da Silva;No;Yes;Business/process improvement or change;out 21, 2021;nov 4, 2021;dez 6, 2024;dez 21, 2024;out 31, 2025;abr 8, 2025;Packaging;Izabel Barcza;;abr 8, 2025;dez 16, 2024;"Aline Ishziuka; Phelipe Montenegro"
Cruzeiro;CR028375;Alteração na técnica de análise do produto acabado Panacur Suspensão 10% / Axilur 10% C-CQ-TCPA-064;Closed;Tier 1;;Isabela Salhab Costa;Thamires Ribeiro;;;;out 20, 2021;out 25, 2021;nov 5, 2021;nov 20, 2021;;nov 2, 2021;Quality Control;;;;;
Cruzeiro;CR028281;Retirada das balanças do CEP e cancelamento de seus respectivos documentos.;Closed;Tier 1;;Luciene Ribeiro;Thamires Ribeiro;;;;out 18, 2021;nov 11, 2021;dez 20, 2021;jan 4, 2022;;jan 4, 2022;Packaging;;;;;
Cruzeiro;CR028278;Validação do procedimento de Limpeza das Bombas Rotativas de Pesagem de Matérias-Primas no Almoxarifado;Closed;Tier 1;André Luiz Guerra Fernandes;André Luiz Guerra Fernandes;Samira Gaspar;No;No;Business/process improvement or change;out 18, 2021;dez 20, 2021;abr 19, 2023;mai 4, 2023;;abr 17, 2023;GTO-PTS;;;;abr 17, 2023;Raquel Pinto Lopes
Cruzeiro;CR028241;Alteração na técnica de análise da matéria-prima Toltrazuril C-CQ-TCMP-182;Closed;Tier 1;;Mayara Aline Barbosa Matias;Samira Gaspar;;;;out 15, 2021;out 20, 2021;out 29, 2021;nov 13, 2021;;nov 2, 2021;Quality Control;;;;;
Cruzeiro;CR028211;Calminex - Revisão do procedimento de formulação e Batches Records de formulação e envase para atendimento ao Relatório de Validação RVP 002/21;Closed;Tier 1;;Eduardo Barros;Thamires Ribeiro;;;;out 14, 2021;out 19, 2021;nov 3, 2021;nov 18, 2021;;nov 2, 2021;Manufacturing;;;;;
Cruzeiro;CR027978;Atualização das artes do produto Endal Plus Comprimidos Peru-CENCA;Closed;Tier 1;;Vilmar Alves;Thamires Ribeiro;;;;out 6, 2021;out 13, 2021;abr 29, 2022;mai 14, 2022;;abr 19, 2022;;;;;abr 19, 2022;
Cruzeiro;CR027857;Alteração de especificação do material 2000832 - Bombona PEAD branca 10L autoempilhável.;Closed;Tier 1;;Maria Paula Para Nogueira;Thamires Ribeiro;;;;set 30, 2021;out 25, 2021;abr 26, 2022;mai 11, 2022;;fev 10, 2022;Packaging;;;;;
Cruzeiro;CR027844;Criação da apresentação de 20ml do produto Butox P CE para o país Peru.;Closed;Tier 1;Cristina Novaes;Cristina Novaes;Thamires Ribeiro;No;No;Business/process improvement or change;set 29, 2021;out 25, 2021;dez 10, 2021;dez 25, 2021;;dez 13, 2021;Packaging;;;;;Jessica Isaac
Cruzeiro;CR027805;Atualização das artes do produto Crestar IVG Intravaginal 1,3g - Colômbia, México e Paraguai;Closed;Tier 1;;Vilmar Alves;Samira Gaspar;;;;set 28, 2021;out 5, 2021;out 30, 2024;nov 14, 2024;;nov 9, 2024;;;;;nov 9, 2024;
Cruzeiro;CR027722;Alteração na técnica de análise do produto acabado Azium Comprimido C-CQ-TCPA-080;Closed;Tier 1;;Isabela Salhab Costa;Thamires Ribeiro;;;;set 24, 2021;set 27, 2021;out 1, 2021;out 16, 2021;;out 1, 2021;Quality Control;;;;;
Cruzeiro;CR027670;Alteração da especificação do material 2010959 Cart. Disp. Vampiricid Top. c/berço 5x50g;Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;set 22, 2021;set 24, 2021;out 29, 2021;nov 13, 2021;;nov 2, 2021;;;;;;
Cruzeiro;CR027592;Adequação da máquina Granuladora Oscilante (GRAN003) para atendimento a Norma Regulamentadora nº 12;Closed;Tier 1;Luis Guilherme Israel de Carvalho;Luis Guilherme Israel de Carvalho;Samira Gaspar;No;No;Safety and Environmental;set 20, 2021;set 29, 2021;ago 31, 2022;set 15, 2022;;set 16, 2022;SHE;;;;set 16, 2022;Raquel Pinto Lopes
Cruzeiro;CR027575;Adequação da máquina Misturador Lemaq (MSTV004C) para atendimento a Norma Regulamentadora nº 12;Closed;Tier 1;Luis Guilherme Israel de Carvalho;Luis Guilherme Israel de Carvalho;Samira Gaspar;No;No;Safety and Environmental;set 17, 2021;set 29, 2021;ago 31, 2022;set 15, 2022;;set 15, 2022;SHE;;;;set 15, 2022;Raquel Pinto Lopes
Cruzeiro;CR027540;Alteração na técnica de análise da matéria-prima Febantel C-CQ-TCMP-134;Closed;Tier 1;;Isabela Salhab Costa;Thamires Ribeiro;;;;set 16, 2021;set 20, 2021;set 24, 2021;out 9, 2021;;set 28, 2021;Quality Control;;;;;
Cruzeiro;CR027512;Adequação da máquina Emblistadeira Semi automática Neopacking (EMBL001C) para atendimento a Norma Regulamentadora nº 12;Closed;Tier 1;Luis Guilherme Israel de Carvalho;Luis Guilherme Israel de Carvalho;Samira Gaspar;No;No;Safety and Environmental;set 15, 2021;set 30, 2021;set 9, 2022;set 24, 2022;;out 13, 2022;SHE;;;;out 13, 2022;Raquel Pinto Lopes
Cruzeiro;CR027486;Alteração do fornecedor de Fipronil da Jiangsu Tuoqiu para Gharda Chemicals.;Closed;Tier 2;Rafael Brandão Nascimento;Thaís Sant'Anna;Anderson da Silva;No;No;Business/process improvement or change;set 14, 2021;out 15, 2021;mai 30, 2025;jun 14, 2025;;jun 9, 2025;Packaging;Izabel Barcza;;;jun 9, 2025;"Aline Ishziuka; Phelipe Montenegro"
Cruzeiro;CR027483;Atualização da técnica de análise de matéria prima C-CQ-TCMP-004 - Álcool isopropílico;Closed;Tier 2;Isabela Salhab Costa;Isabela Salhab Costa;Thamires Ribeiro;No;Yes;Business/process improvement or change;set 14, 2021;set 20, 2021;out 15, 2021;out 30, 2021;out 15, 2021;out 15, 2021;Quality Control;Izabel Barcza;No;;;"Claudia Fernandes; Aline Ishziuka"
Cruzeiro;CR027250;Alteração na técnica de análise da matéria-prima Sulfamerazina C-CQ-TCMP-175;Closed;Tier 1;;Isabela Salhab Costa;Samira Gaspar;;;;set 2, 2021;set 3, 2021;set 9, 2021;set 24, 2021;;set 25, 2021;Quality Control;;;;;
Cruzeiro;CR027130;Processo de reembalagem do Tickgard 1L lote 004/21 para atender o mercado nacional.;Closed;Tier 1;Cristina Novaes;Cristina Novaes;Samira Gaspar;No;No;Business/process improvement or change;ago 30, 2021;set 1, 2021;out 21, 2021;nov 5, 2021;;out 8, 2021;Planning;;;;;Raquel Pinto Lopes
Cruzeiro;CR027105;Alteração na técnica de análise da matéria-prima Álcool Isopropílico C-CQ-TCMP-004;Closed;Tier 1;;Isabela Salhab Costa;Samira Gaspar;;;;ago 27, 2021;ago 31, 2021;set 3, 2021;set 18, 2021;;set 25, 2021;Quality Control;;;;;
Cruzeiro;CR027091;Tick Gard Granel - Correção dos códigos das matérias-primas no registro de fracionamento de matérias-primas em tambores;Closed;Tier 1;;Eduardo Barros;Samira Gaspar;;;;ago 26, 2021;ago 27, 2021;set 9, 2021;set 24, 2021;;set 25, 2021;Manufacturing;;;;;
Cruzeiro;CR027088;Embalagem do Endal Plus 1x4 comprimidos lotes 017/21 e 018/21 utilizando o código do blister de exportação ao invés do código do produto nacional.;Closed;Tier 1;Cristina Novaes;Cristina Novaes;Samira Gaspar;No;No;Business/process improvement or change;ago 26, 2021;set 14, 2021;out 18, 2021;nov 2, 2021;;out 20, 2021;Planning;;;;;Raquel Pinto Lopes
Cruzeiro;CR027083;Alteração de artes e especificação dos materiais do antidiarreico e harmonização da Caixa C36-V (2000880);Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;ago 26, 2021;set 14, 2021;mar 7, 2022;mar 22, 2022;;mar 9, 2022;;;;;;
Cruzeiro;CR027069;Utilização da Matéria Prima “Simeticona” fornecida pelo P&D na fabricação do produto Panacoxx;Closed;Tier 1;Claudio Cardeal;Claudio Cardeal;Samira Gaspar;No;No;Business/process improvement or change;ago 25, 2021;ago 26, 2021;out 29, 2021;nov 13, 2021;;out 8, 2021;Logistics-Warehouse;;;;;Raquel Pinto Lopes
Cruzeiro;CR027037;Alteração da especificação do material 2000526 Caixa CP46-V;Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;ago 24, 2021;set 3, 2021;nov 10, 2022;nov 25, 2022;;out 28, 2022;;;;;out 28, 2022;
Cruzeiro;CR027035;Calminex - Alteração dos Batches Records C-BR-4000096 e C-BR-4000097 para correção do campo para registro sobre o uso da turbina fora do expediente;Closed;Tier 1;;Eduardo Barros;Samira Gaspar;;;;ago 24, 2021;ago 25, 2021;ago 30, 2021;set 14, 2021;;set 25, 2021;Manufacturing;;;;;
Cruzeiro;CR026987;Alteração da especificação do teste de Ponto de Fusão para Vaselina (Petrolato amarelo) no procedimento C-CQ-TCPA-118;Closed;Tier 2;Livia Martins Pereira;Livia Martins Pereira;Samira Gaspar;Yes;Yes;Business/process improvement or change;ago 23, 2021;ago 25, 2021;ago 19, 2022;set 3, 2022;jun 20, 2023;jun 23, 2022;Quality Control;Izabel Barcza;No;out 4, 2021;jun 23, 2022;Anna Carolina Sousa Alves
Cruzeiro;CR026973;Alteração na técnica de análise da matéria-prima Óleo de Castor C-CQ-TCMP-127;Closed;Tier 1;;Livia Martins Pereira;Samira Gaspar;;;;ago 22, 2021;ago 24, 2021;set 10, 2021;set 25, 2021;;set 25, 2021;Quality Control;;;;;
Cruzeiro;CR026926;"Inclusão dos materiais ""Frasco Panacur 1L s/ gravação Branco"" (2001931) e ""Tampa PL 35 mm Panacur Suspensão 1L Branca"" (2000160) no programa de teste reduzido";Closed;Tier 1;;Rafael Brandão Nascimento;Samira Gaspar;;;;ago 18, 2021;ago 23, 2021;abr 8, 2022;abr 23, 2022;;abr 12, 2022;;;;;abr 12, 2022;
Cruzeiro;CR026889;Fabricação de 01 lote de 3.750 litros do produto Tickgard => Lote 018/21.;Closed;Tier 1;Cristina Novaes;Cristina Novaes;Samira Gaspar;No;No;Business/process improvement or change;ago 17, 2021;ago 26, 2021;nov 4, 2021;nov 19, 2021;;nov 2, 2021;Planning;;;;;Raquel Pinto Lopes
Cruzeiro;CR026863;Fabricação do produto Crestar no site de Cruzeiro para o Mercado Nacional;Cancelled;;Juliana Silva;Juliana Silva;Samira Gaspar;Yes;No;Business/process improvement or change;ago 16, 2021;;;;;;GTO-PTS;;;;;Raquel Pinto Lopes
Cruzeiro;CR026848;Calminex - Alteração do limite de temperatura do bulk para adição do ácido oleico até 65°C e melhoria na descrição e registro das atividades executadas;Closed;Tier 1;Eduardo Barros;Eduardo Barros;Samira Gaspar;No;No;Business/process improvement or change;ago 16, 2021;ago 19, 2021;mai 24, 2024;jun 8, 2024;;jun 5, 2024;Manufacturing;;;;jun 5, 2024;Phelipe Montenegro
Cruzeiro;CR026802;Atualizar as artes do produto Panacur Suspensão 10% destinado ao país Chile;Closed;Tier 2;Vilmar Alves;Vilmar Alves;Samira Gaspar;No;No;Routine (Master Data, Like-for-Like, etc);ago 12, 2021;ago 26, 2021;abr 29, 2022;mai 14, 2022;;abr 19, 2022;Packaging;Izabel Barcza;;;abr 19, 2022;Daniele Ferreira Dos Santos
Cruzeiro;CR026632;Melhorias no processo de documentação do site de Cruzeiro;Closed;Tier 1;;Samira Gaspar;Thamires Ribeiro;;;;ago 4, 2021;out 26, 2021;jun 30, 2022;jul 15, 2022;;jun 13, 2022;Quality Assurance;;;;jun 13, 2022;
Cruzeiro;CR026604;Criação Logbooks para registro de atividades realizadas nas datadoras da área de produção;Closed;Tier 1;;Eduardo Barros;Samira Gaspar;;;;ago 3, 2021;ago 4, 2021;ago 19, 2021;set 3, 2021;;set 25, 2021;Manufacturing;;;;;
Cruzeiro;CR026558;"Processo de Limpeza do Calminex Pomada com utilização de ""WAP"" a frio.";Closed;Tier 1;Peterson Lopes;Peterson Lopes;Samira Gaspar;No;No;Business/process improvement or change;jul 30, 2021;ago 2, 2021;out 8, 2021;out 23, 2021;;out 13, 2021;Manufacturing;;;;;Aline Ishziuka
Cruzeiro;CR026505;"Revalidação da planilha ""GQ-001-Lista Mestra-Documentos-rev3""";Closed;Tier 1;;Thamires Ribeiro;Samira Gaspar;;;;jul 28, 2021;out 22, 2021;dez 10, 2021;dez 25, 2021;;nov 24, 2021;Quality Assurance;;;;;
Cruzeiro;CR026341;Alteração da especificação do material 2002300 Caixa CP30-V e forma de acondicionamento do produto Panacur 1L exportação;Closed;Tier 1;Maria Paula Para Nogueira;Maria Paula Para Nogueira;Samira Gaspar;No;No;Business/process improvement or change;jul 21, 2021;ago 16, 2021;set 22, 2023;out 7, 2023;;set 29, 2023;Packaging;;;;set 29, 2023;Aline Ishziuka
Cruzeiro;CR026182;Inclusão de Bomba Rotativa Manual para o Fracionamento de Matérias-primas no Almoxarifado;Closed;Tier 1;David Leal;Luis Guilherme Israel de Carvalho;Samira Gaspar;No;No;Safety and Environmental;jul 14, 2021;set 2, 2021;nov 23, 2023;dez 8, 2023;;nov 23, 2023;SHE;;;;nov 23, 2023;"Aline Ishziuka; Phelipe Montenegro"
Cruzeiro;CR026145;Adequação da técnica de análise do Sofomax/Fluxacur NF - C-CQ-TCPA-040;Closed;Tier 1;;Adna Mendes;Samira Gaspar;;;;jul 13, 2021;jul 14, 2021;jul 23, 2021;ago 7, 2021;;set 25, 2021;Quality Control;;;;;
Cruzeiro;CR026109;Adequação da técnica de análise do Sofomax/Fluxacur NF - C-CQ-TCPA-040;Cancelled;Tier 1;Adna Mendes;Adna Mendes;Samira Gaspar;No;No;Business/process improvement or change;jul 12, 2021;;;;;;Quality Control;;;;;
Cruzeiro;CR026005;Implementação de carimbo de inspeção de produto acabado.;Closed;Tier 1;;Luciene Ribeiro;Samira Gaspar;;;;jul 7, 2021;jul 8, 2021;jan 28, 2022;fev 12, 2022;;fev 7, 2022;Packaging;;;;;
Cruzeiro;CR025906;Alteração do escopo de análises microbiológicas do produto Bovguard;Closed;Tier 1;Pedro Bonfim;Pedro Bonfim;Samira Gaspar;No;No;Business/process improvement or change;jul 1, 2021;jul 13, 2021;jul 30, 2021;ago 14, 2021;;set 21, 2021;GTO-PTS;;No;;;Claudia Fernandes
